"Source.Name","Nombre","Valoracion","Club","División","Edad","Posición","Valor de traspaso","Sueldo","Vis","Vel","Val","1v1","Lib","Lej","Téc","Tal","Ser","Sq L","Pue","Cór","Saq","SAL","Sac","Res","Rem","Reg","Ref","Fís","Pen","Pas","Mar","Mdo","Lid","JEq","Puñ","Fue","Exc","Equ","Ent","Det","Dmq","Dec","Ctr","Cnc","Com","Col","Cen","Cab","Blo","Ant","Sal.1","Aér","Agr","Agi","Ace","Rec","Inf"
"SERIE A.html","David Pérez","30","Atalanta","Serie A italiana","16","ME/MP (DC)","80m € - 230m €","1.100 € p/m","13","11","2","1","6","4","10","8","13","6","1","5","1","3","10","8","8","9","3","15","8","7","6","1","5","5","1","4","3","7","8","12","11","11","9","7","3","3","8","3","3","8","6","3","8","11","13","- -  -","Juv"
"SERIE A.html","Michele Meloni","24","Atalanta","Serie A italiana","16","DF (I)","14m € - 140m €","1.100 € p/m","7","12","8","3","1","6","6","5","7","6","3","4","3","1","7","6","4","5","2","15","6","7","8","2","5","7","1","1","4","7","14","8","6","14","10","7","1","8","4","5","4","5","3","1","9","11","14","- -  -","Juv"
"SERIE A.html","Michele Bordiga","18","Atalanta","Serie A italiana","16","DF/CR (DI)","0 € - 130m €","1.100 € p/m","7","13","7","4","1","2","8","5","4","6","1","4","3","1","7","5","2","3","1","12","1","8","7","2","10","7","2","3","3","7","12","1","2","11","8","5","2","5","4","7","1","8","2","2","15","13","15","- -  -","Juv"
"SERIE A.html","Mattia Tavanti","25","Atalanta","Serie A italiana","16","DF (C)","4m € - 40m €","1.100 € p/m","3","8","7","3","1","3","5","5","4","1","2","2","3","4","4","6","2","1","2","12","6","7","11","2","2","6","3","7","1","7","13","13","2","14","3","6","1","12","2","5","2","7","14","3","12","8","7","- -  -","Juv"
"SERIE A.html","Gabriele Chiggiato","22","Atalanta","Serie A italiana","16","DF (C)","3m € - 30m €","1.100 € p/m","2","9","7","1","1","1","5","5","3","1","2","1","1","1","6","8","4","1","3","13","1","6","9","1","4","5","2","7","2","6","14","3","5","8","7","8","3","12","2","12","2","5","8","1","7","9","11","- -  -","Juv"
"SERIE A.html","Birkir Jakob Jónsson","33","Atalanta","Serie A italiana","16","DL (C)","12m € - 130m €","1.100 € p/m","5","12","1","1","4","5","8","14","12","1","1","4","1","2","5","7","12","10","1","11","4","5","2","3","9","4","3","6","3","5","1","12","12","11","9","1","3","1","3","11","2","6","6","2","14","12","12","- -  -","Juv"
"SERIE A.html","Alberto Manzoni","24","Atalanta","Serie A italiana","16","ME/MP (C)","45m € - 130m €","1.100 € p/m","8","7","6","2","5","8","11","10","4","4","1","5","3","2","12","13","7","7","2","10","1","11","6","3","7","7","1","4","1","6","7","10","6","11","14","5","1","6","4","5","3","8","9","3","15","8","8","- -  -","Juv"
"SERIE A.html","Mattia Bianchi","20","Atalanta","Serie A italiana","16","POR","30m € - 95m €","1.100 € p/m","4","12","7","11","3","3","1","2","4","1","4","3","6","7","4","2","2","1","13","13","2","6","2","4","5","5","7","4","5","5","1","17","2","12","1","10","6","9","1","1","6","4","11","11","5","9","13","- -  -","Juv"
"SERIE A.html","Davide Stabile","19","Atalanta","Serie A italiana","16","DL (C)","100m € - 300m €","1.100 € p/m","1","12","6","2","4","5","7","8","12","1","2","4","3","3","6","11","12","11","1","13","9","5","1","2","7","4","1","7","1","5","1","16","10","11","12","5","1","2","2","12","2","9","2","3","7","12","12","- -  -","Juv"
"SERIE A.html","Endri Muhameti","20","Atalanta","Serie A italiana","16","MP (DIC)","16m € - 160m €","1.100 € p/m","7","11","4","2","3","7","10","10","7","5","2","5","1","3","10","5","7","11","1","7","4","9","5","2","3","6","2","4","2","6","5","15","6","10","12","5","3","2","9","3","1","3","13","1","7","12","13","- -  -","Juv"
