"Nombre","Altura","Nac","Sueldo neto","Club","División","Edad","Posición","Valor de traspaso","Vis","Vel","Val","1v1","Lib","Lej","Téc","Tal","Ser","Sq L","Pue","Cór","Saq","SAL","Sac","Res","Rem","Reg","Ref","Fís","Pen","Pas","Mar","Mdo","Lid","JEq","Puñ","Fue","Exc","Equ","Ent","Det","Dmq","Dec","Ctr","Cnc","Com","Col","Cen","Cab","Blo","Ant","Sal2","Aér","Agr","Agi","Ace","Rec","Inf","RM"
"Alexandre Lacazette","175 cm","FRA","490.000 € p/m","Arsenal","Premier Division inglesa","30","DL (C)","25M € - 30M €","12","12","14","1","11","13","15","15","14","3","2","5","3","3","17","14","15","14","3","15","14","12","5","3","12","15","4","14","3","15","5","12","16","14","15","14","2","7","11","13","2","15","10","1","10","15","14","- - -","Est",""
"André Onana","192 cm","CMR","74.000 € p/m","Ajax","Eredivisie","25","POR","20M € - 29M €","8","13","15","15","9","2","12","14","15","2","15","4","15","16","13","13","3","2","15","16","3","13","3","14","12","12","5","13","15","15","2","15","2","14","10","14","13","15","2","5","15","13","16","15","9","15","12","- - -","San",""
"Pavel Kadeřábek","182 cm","CZE","93.000 € p/m","Hoffenheim","Bundesliga","29","DF/CR/ME/MP (D)","7,6M € - 9,4M €","10","16","15","1","7","11","10","10","8","15","2","7","2","4","16","17","9","11","3","14","11","10","11","3","12","14","3","14","4","16","13","16","14","9","10","13","2","11","14","11","2","10","11","2","13","11","14","- - -","Seg",""
"Richarlison","181 cm","BRA","297.000 € p/m","Everton","Premier Division inglesa","24","MP (DI), DL (C)","83M € - 119M €","10","15","13","2","9","11","15","14","12","8","3","10","3","1","16","17","14","15","3","15","12","12","6","2","9","12","3","13","1","12","12","14","14","10","13","12","2","10","11","14","3","12","11","2","15","14","15","- - -","Seg",""
"Bernd Leno","190 cm","GER","270.000 € p/m","Arsenal","Premier Division inglesa","29","POR","27M € - 32M €","7","10","14","17","5","3","9","4","11","2","15","2","12","16","10","12","2","2","17","14","1","10","2","14","9","16","13","12","13","14","2","14","6","10","10","12","12","13","1","6","15","14","14","13","8","16","13","- - -","Est",""
"Corentin Tolisso","181 cm","FRA","322.000 € p/m","FC Bayern","Bundesliga","26","MC, ME/MP (C)","5,4M € - 6,8M €","14","13","15","1","8","16","14","12","13","8","2","12","3","3","16","15","14","10","1","10","12","14","12","1","12","15","1","14","3","15","12","16","16","12","13","12","1","12","10","15","1","13","13","3","16","12","12","- - -","Opc",""
"Alessio Cragno","184 cm","ITA","96.000 € p/m","Cagliari","Serie A italiana","27","POR","4,8M € - 6M €","5","8","14","15","2","3","9","2","13","2","12","4","10","12","10","10","2","5","16","14","3","8","2","15","10","10","11","7","13","12","3","14","2","14","6","15","16","15","3","5","16","12","12","11","11","15","12","- - -","",""
"Houssem Aouar","175 cm","FRA","172.000 € p/m","OL","Ligue 1 Uber Eats","23","ME/MP (IC)","30M € - 37M €","16","14","11","2","13","9","16","15","15","5","3","13","1","2","12","14","12","15","1","14","12","16","10","4","13","15","2","10","3","12","8","14","14","13","16","11","2","12","10","7","1","12","7","1","9","15","13","- - -","Seg",""
"Divock Origi","185 cm","BEL","216.000 € p/m","Liverpool","Premier Division inglesa","26","MP (I), DL (C)","18,5M € - 22M €","12","15","11","3","9","12","15","15","15","6","3","5","3","1","15","13","13","15","2","14","13","13","7","3","7","13","1","16","1","15","8","10","14","11","16","12","1","7","11","13","3","12","14","3","12","14","14","- - -","Est",""
"Jordan Veretout","177 cm","FRA","272.000 € p/m","Roma","Serie A italiana","28","MC, ME (C)","22M € - 32M €","15","14","11","3","12","14","14","11","15","6","4","16","2","2","15","16","13","12","1","12","17","16","10","3","6","15","3","12","3","16","11","12","16","14","13","11","2","9","15","8","2","15","9","4","12","14","13","- - -","Les",""
"Christoph Kramer","191 cm","GER","149.000 € p/m","Borussia M'gladbach","Bundesliga","30","MC, ME (C)","10M € - 12M €","10","11","17","3","6","7","14","8","15","10","1","6","2","2","17","16","8","12","3","18","7","13","12","2","12","17","1","12","1","14","13","14","14","16","14","16","2","13","10","10","3","15","15","3","12","13","9","- - -","",""
"Nicolás Tagliafico","172 cm","ARG","111.000 € p/m","Ajax","Eredivisie","28","DF/CR/ME (I)","28M € - 42M €","12","14","17","2","11","8","12","12","12","13","3","8","3","1","17","17","7","12","2","15","4","13","16","1","16","15","2","14","1","14","17","15","13","12","13","14","2","14","12","15","3","14","13","3","19","14","13","- - -","",""
"Allan","175 cm","BRA","324.000 € p/m","Everton","Premier Division inglesa","30","MC, ME (C)","40M € - 57M €","12","13","16","4","6","12","14","13","12","6","1","3","1","1","17","15","10","13","1","14","10","15","14","3","12","16","2","16","1","18","18","17","14","13","13","14","4","16","9","10","2","14","7","2","16","14","10","- - -","Est",""
"Rodrigo","182 cm","ESP","270.000 € p/m","Leeds","Premier Division inglesa","30","MP (DIC), DL (C)","27M € - 41M €","14","16","14","3","12","12","15","14","13","3","3","11","1","2","13","14","11","14","1","14","13","13","5","3","11","13","2","11","1","14","7","13","16","12","15","10","3","8","12","8","2","14","12","2","13","16","16","- - -","Seg",""
"Nemanja Matić","194 cm","SRB","324.000 € p/m","Man UFC","Premier Division inglesa","32","MC, ME (C)","700m € - 4,6M €","13","10","14","1","10","14","15","4","16","10","1","10","1","1","13","7","8","12","2","10","12","15","13","1","14","16","1","17","3","19","16","13","10","14","15","14","1","15","11","16","2","15","16","1","10","8","7","- - -","Seg",""
"Raúl Jiménez","190 cm","MEX","270.000 € p/m","Wolves","Premier Division inglesa","30","DL (C)","47M € - 58M €","11","14","16","1","8","13","14","9","15","6","1","6","2","1","18","14","16","14","1","14","20","13","8","2","8","15","2","13","2","14","9","16","15","12","12","14","1","10","11","16","1","13","15","3","17","12","15","- - -","Seg",""
"Sergio Reguilón","176 cm","ESP","189.000 € p/m","Tottenham","Premier Division inglesa","24","DF/CR (I)","29M € - 43M €","13","16","14","3","9","11","13","12","13","13","2","10","2","3","16","16","10","13","3","15","12","12","13","1","12","15","2","12","1","13","14","15","15","14","13","12","3","13","13","11","1","14","8","2","15","14","15","- - -","Est",""
"João Moutinho","170 cm","POR","270.000 € p/m","Wolves","Premier Division inglesa","34","MC, ME/MP (C)","750m € - 4,7M €","17","10","14","3","16","13","17","15","14","4","1","15","2","4","16","14","10","15","2","15","14","17","11","1","14","17","2","10","1","13","12","16","12","15","16","15","3","14","15","7","2","16","8","2","14","13","10","- - -","Seg",""
"Rune Jarstein","190 cm","NOR","47.500 € p/m","Hertha Berlin","Bundesliga","36","POR","No a la venta","8","9","10","13","7","2","10","3","14","2","11","3","13","16","10","12","3","1","16","13","1","9","3","16","8","14","13","14","8","14","1","12","3","11","9","13","12","9","3","2","14","13","14","15","10","13","11","- - -","Les",""
"Eric Maxim Choupo-Moting","191 cm","CMR","156.000 € p/m","FC Bayern","Bundesliga","32","MP (DIC), DL (C)","3,2M €","13","14","12","2","6","10","15","15","12","5","2","5","2","2","11","12","12","14","1","13","13","13","6","2","12","12","1","15","2","13","7","12","14","13","14","12","2","7","10","14","3","13","15","4","12","12","13","- - -","Trn",""
"Manolo Gabbiadini","186 cm","ITA","105.000 € p/m","Sampdoria","Serie A italiana","29","MP (DIC), DL (C)","6,4M € - 7,6M €","13","13","12","1","16","16","15","15","13","3","2","12","3","3","12","11","15","13","3","12","18","13","4","2","10","12","1","13","1","13","6","13","14","13","16","13","1","8","12","11","3","14","12","1","11","13","13","- - -","Les",""
"Fabio Quagliarella","180 cm","ITA","113.000 € p/m","Sampdoria","Serie A italiana","38","DL (C)","40m € - 400m €","13","10","13","3","12","16","16","19","16","5","3","6","2","1","19","9","16","11","1","19","19","16","5","1","20","15","1","10","3","13","5","20","18","15","11","15","1","5","10","13","2","16","11","1","14","10","10","- - -","Seg",""
"Arturo Vidal","180 cm","CHI","477.000 € p/m","Inter","Serie A italiana","34","MC, ME/MP (C)","2,2M € - 4,4M €","12","11","19","2","11","14","15","13","16","10","1","10","1","2","19","12","14","11","4","15","16","16","14","2","16","16","3","13","4","16","17","20","15","12","14","13","3","13","11","16","1","14","13","1","20","10","11","- - -","nUE",""
"Tanguy Ndombele","181 cm","FRA","169.000 € p/m","OL","Ligue 1 Uber Eats","24","MC, ME/MP (C)","35M € - 43M €","14","13","14","1","8","13","16","15","15","4","1","6","3","2","11","12","10","16","3","11","7","15","12","3","10","14","1","16","1","16","12","11","13","13","15","10","2","12","10","10","1","13","10","1","10","14","15","- - -","Est",""
"Nicolas Pépé","183 cm","CIV","377.000 € p/m","Arsenal","Premier Division inglesa","26","MP (DI)","42M € - 62M €","12","16","8","1","14","16","16","18","13","2","1","12","1","3","11","13","13","17","1","14","15","12","4","1","7","11","3","10","1","13","4","8","16","11","14","8","1","6","12","8","1","12","9","3","6","18","17","- - -","Est",""
"Wilfried Zaha","181 cm","CIV","351.000 € p/m","Crystal Palace","Premier Division inglesa","28","ME/MP (DI), DL (C)","31M € - 44M €","11","15","14","3","10","7","15","17","12","7","3","8","2","3","15","15","14","17","4","13","11","10","4","2","9","10","4","12","2","14","3","12","12","13","13","9","1","6","11","4","2","11","11","1","16","15","15","- - -","Seg",""
"Gabriel","190 cm","BRA","136.000 € p/m","Arsenal","Premier Division inglesa","23","DF (C)","56M € - 80M €","12","15","16","4","4","6","12","8","12","7","3","4","3","4","14","15","6","10","3","12","7","13","15","1","10","16","2","16","4","14","15","13","9","13","12","13","3","14","7","16","2","14","17","2","16","13","13","- - -","",""
"Lucas Leiva","179 cm","BRA","210.000 € p/m","Lazio","Serie A italiana","34","MC","950m € - 2M €","12","9","18","1","3","10","13","11","16","4","1","13","3","4","16","11","11","11","2","17","9","15","15","3","14","16","2","12","2","14","17","18","14","13","15","14","1","16","7","13","1","17","10","3","15","12","9","- - -","Seg",""
